index,dx,dy,dz,delay,x,y,z
94.0,0.0,0.0,27.5,1.0,27.5,27.5,27.5
95.0,0.0,0.0,27.5,1.0,27.5,27.5,55.0
96.0,27.5,0.0,-110.0,3.0,55.0,27.5,-55.0
97.0,0.0,0.0,27.5,1.0,55.0,27.5,-27.5
98.0,0.0,0.0,27.5,1.0,55.0,27.5,0.0
99.0,0.0,0.0,27.5,1.0,55.0,27.5,27.5
100.0,0.0,0.0,27.5,1.0,55.0,27.5,55.0
101.0,-110.0,27.5,-110.0,3.0,-55.0,55.0,-55.0
102.0,0.0,0.0,27.5,1.0,-55.0,55.0,-27.5
103.0,0.0,0.0,27.5,1.0,-55.0,55.0,0.0
104.0,0.0,0.0,27.5,1.0,-55.0,55.0,27.5
105.0,0.0,0.0,27.5,1.0,-55.0,55.0,55.0
106.0,27.5,0.0,-110.0,3.0,-27.5,55.0,-55.0
107.0,0.0,0.0,27.5,1.0,-27.5,55.0,-27.5
108.0,0.0,0.0,27.5,1.0,-27.5,55.0,0.0
109.0,0.0,0.0,27.5,1.0,-27.5,55.0,27.5
110.0,0.0,0.0,27.5,1.0,-27.5,55.0,55.0
111.0,27.5,0.0,-110.0,3.0,0.0,55.0,-55.0
112.0,0.0,0.0,27.5,1.0,0.0,55.0,-27.5
113.0,0.0,0.0,27.5,1.0,0.0,55.0,0.0
114.0,0.0,0.0,27.5,1.0,0.0,55.0,27.5
115.0,0.0,0.0,27.5,1.0,0.0,55.0,55.0
116.0,27.5,0.0,-110.0,3.0,27.5,55.0,-55.0
117.0,0.0,0.0,27.5,1.0,27.5,55.0,-27.5
118.0,0.0,0.0,27.5,1.0,27.5,55.0,0.0
119.0,0.0,0.0,27.5,1.0,27.5,55.0,27.5
120.0,0.0,0.0,27.5,1.0,27.5,55.0,55.0
121.0,27.5,0.0,-110.0,3.0,55.0,55.0,-55.0
122.0,0.0,0.0,27.5,1.0,55.0,55.0,-27.5
123.0,0.0,0.0,27.5,1.0,55.0,55.0,0.0
124.0,0.0,0.0,27.5,1.0,55.0,55.0,27.5
125.0,0.0,0.0,27.5,1.0,55.0,55.0,55.0
126.0,-55.0,-55.0,-55.0,3.0,0.0,0.0,0.0
