index,dx,dy,dz,Bx,By,Bz,Bmod,x,y,z,trigger,
0.0,0.0,0.0,0.0,350.00000000000006,130.0,350.00000000000006,511.76166327695955,0.0,0.0,0.0,False,
1.0,-34.56507156154038,-2.8424535933774258,-4.70917036377823,700.0000000000001,350.00000000000006,-310.0,841.7838202293984,-34.56507156154038,-2.8424535933774258,-4.70917036377823,False,
2.0,1.7216781875606983,7.387849947840445,15.91858085955641,620.0,200.0,-630.0,906.2560344626677,-32.84339337397968,4.54539635446302,11.20941049577818,False,
3.0,0.2548426991985977,7.9395241926399,-13.87645452423973,690.0000000000001,-20.0,-429.99999999999994,813.2650244538985,-32.58855067478108,12.48492054710292,-2.66704402846155,False,
4.0,0.6243871935990519,-24.66687860309148,10.0759677607188,580.0,470.0,-310.0,808.3316151184488,-31.96416348118203,-12.18195805598856,7.40892373225725,False,
5.0,3.308608349210605,21.18599152393311,-25.37518492891917,700.0000000000001,50.0,-110.0,710.3520254071218,-28.655555131971425,9.00403346794455,-17.966261196661925,False,
6.0,0.0788765640851316,-15.09477433000005,-1.3022706046714347,620.0,320.0,50.0,699.4998213009064,-28.57667856788629,-6.0907408620555,-19.26853180133336,False,
7.0,0.1902369533189301,-12.052416004103367,9.779812636308504,580.0,470.0,80.0,750.7995737878385,-28.386441614567364,-18.14315686615887,-9.488719165024856,False,
8.0,1.5798076413574336,11.151934157675534,30.878604159263038,340.0,350.00000000000006,-460.0,670.5967491719596,-26.80663397320993,-6.991222708483336,21.38988499423818,False,
9.0,1.2953273393446771,25.288121994610403,-5.917434950814975,450.0,-190.0,-460.0,670.9694478886502,-25.511306633865253,18.29689928612707,15.472450043423205,False,
10.0,0.7430915653041978,6.379643382929462,-13.85883168094147,610.0,-300.0,-260.0,727.8049189171505,-24.76821506856105,24.67654266905653,1.6136183624817342,False,
11.0,0.8312342473264565,-50.007524961984,1.6054320004736995,460.0,500.0,50.0,681.248853210044,-23.9369808212346,-25.330982292927462,3.219050362955434,False,
12.0,1.3169277043265666,32.26866020656117,22.572456420381933,300.0,50.0,-500.0,585.2349955359813,-22.620053116908032,6.9376779136337055,25.791506783337365,False,
13.0,0.2667736956220743,15.893229963315072,-40.07718298813047,650.0,-260.0,-30.0,700.713921654194,-22.35327942128596,22.83090787694878,-14.285676204793104,False,
14.0,1.713472367336866,-44.51768608764288,32.41526570968588,270.0,429.99999999999994,-110.0,519.5190083144215,-20.63980705394909,-21.6867782106941,18.129589504892778,False,
15.0,2.25723387058883,2.970104595154304,-41.29782491304936,460.0,320.0,320.0,645.2906321960671,-18.38257318336026,-18.7166736155398,-23.16823540815658,False,
16.0,0.3696958596241408,15.56521399220544,-6.674762979447255,490.0,160.0,250.0,572.8874234961002,-18.01287732373612,-3.1514596233343584,-29.842998387603835,False,
17.0,1.241520996032694,16.119864070157323,1.9944419971403209,530.0,-60.0,210.0,573.2364259186605,-16.771356327703426,12.968404446822964,-27.848556390463514,False,
18.0,1.0866934342537728,-42.50427528435788,17.522681909951118,420.0,390.0,280.0,637.8871373526824,-15.684662893449651,-29.535870837534915,-10.325874480512397,False,
19.0,1.4248623254371786,17.65595816701654,39.99952883418727,110.0,320.0,-150.0,370.1351104664349,-14.259800568012476,-11.879912670518376,29.67365435367487,False,
20.0,0.8508690209109986,41.65779215345248,-17.084831999498967,370.0,-340.0,-100.0,512.3475382979799,-13.408931547101476,29.7778794829341,12.5888223541759,False,
21.0,0.8511508635128457,2.62060051143359,-16.788898348422343,530.0,-380.0,90.0,658.3312236253116,-12.55778068358863,32.39847999436769,-4.20007599424644,False,
22.0,0.1095247586214238,-12.792441800101145,30.384884390556675,180.0,-190.0,-150.0,301.66206257996714,-12.448255924967206,19.606038194266542,26.184808396310235,False,
23.0,1.4689514251696565,-52.03923028034703,-18.93615860423644,260.0,429.99999999999994,200.0,540.8326913195983,-10.97930449979755,-32.43319208608048,7.248649792073794,False,
24.0,0.9666531372282758,35.1883770892824,26.175230417886443,30.0,90.0,-110.0,145.2583904633395,-10.012651362569274,2.7551850032019143,33.42388020996024,False,
25.0,1.1728142006696132,23.660853941189508,-54.61468400404726,530.0,-300.0,290.0,674.5368781616021,-8.839837161899661,26.416038944391424,-21.190803794087024,False,
26.0,2.761015986609511,-53.00087712039137,43.12922470979423,140.0,429.99999999999994,170.0,483.11489316724646,-6.07882117529015,-26.58483817599995,21.938420915707205,False,
27.0,1.3010414469720155,-0.2843167692400001,-43.85237385433422,330.0,280.0,370.0,569.3856338194704,-4.777779728318135,-26.86915494523995,-21.913952938627016,False,
28.0,0.0041695334799296,13.237995241469845,-9.96714068813008,330.0,200.0,410.0,563.0275304103699,-4.773610194838205,-13.631159703770106,-31.881093626757096,False,
29.0,0.4714745046297297,16.03089339056608,-2.7704995074047183,410.0,10.0,410.0,579.9137866959192,-4.302135690208475,2.3997336867959773,-34.651593134161814,False,
30.0,3.020209246796126,-36.9401221796193,29.14539414043505,260.0,350.00000000000006,320.0,540.8326913195984,-1.281926443412349,-34.540388492823325,-5.50619899372676,False,
31.0,0.5096895155423259,51.20209551039863,-25.2637728845138,450.0,-140.0,410.0,624.6599074696567,-0.7722369278700231,16.661707017575303,-30.76997187824056,False,
32.0,1.0969581486615676,11.757407849971944,51.19663255182893,220.0,-300.0,290.0,471.6990566028302,0.3247212207915445,28.419114867547247,20.42666067358836,False,
33.0,0.2435961066787781,-43.66874522933723,11.071367665405674,-20.0,280.0,250.0,375.89892258425004,0.5683173274703226,-15.249630361789986,31.49802833899404,False,
34.0,0.5968239664926069,48.50054844644629,-42.361678383642,490.0,-340.0,410.0,723.7402849088891,1.1651412939629295,33.2509180846563,-10.863650044647962,False,
35.0,0.1184192798788195,1.2902831860386996,16.36436700070165,370.0,-380.0,370.0,646.6838485689897,1.283560573841749,34.541201270695,5.50071695605369,False,
36.0,0.1287816267455444,-20.0994007651724,26.349552864893337,20.0,-140.0,290.0,322.64531609803356,1.4123422005872934,14.4418005055226,31.850269820947027,False,
37.0,3.150410834396417,-47.55230972393464,-21.4639584430228,180.0,390.0,370.0,566.9215113223346,4.56275303498371,-33.11050921841204,10.386311377924232,False,
38.0,0.7048057336789704,31.9752511402685,24.19640126458972,-50.0,130.0,360.0,386.00518131237567,5.26755876866268,-1.135258078143539,34.58271264251395,False,
39.0,4.121260198372135,26.76630652218031,-56.48931972950228,440.0,-300.0,570.0,780.0640999302557,9.388818967034815,25.63104844403677,-21.90660708698833,False,
40.0,0.0713321805987696,-54.88351883271831,5.179428113137529,340.0,310.0,370.0,590.4235767650205,9.460151147633583,-29.25247038868154,-16.7271789738508,False,
41.0,0.4013795542188241,10.863431008170828,-11.372526413900996,330.0,240.0,410.0,578.4461945591828,9.86153070185241,-18.389039380510717,-28.0997053877518,False,
42.0,0.1510977301826663,15.633865131731646,-5.324182577906356,370.0,130.0,490.0,627.6145313805282,10.012628432035076,-2.755174248779068,-33.42388796565815,False,
43.0,0.5882464853506839,-21.16081080708464,56.67570745991809,60.0,350.00000000000006,480.0,597.0762095411272,10.60087491738576,-23.915985055863704,23.25181949425993,False,
44.0,2.7369073338404704,45.24669917191711,1.0813718278431956,130.0,-190.0,650.0,689.5650803223725,13.33778225122623,21.330714116053404,24.33319132210313,False,
45.0,0.922030682539015,-9.450816688581344,-54.006845835943565,450.0,-30.0,610.0,758.6171630012071,14.259812933765245,11.87989742747206,-29.67365451384044,False,
46.0,0.97787550409255,-43.26922579293051,26.930861077177774,290.0,429.99999999999994,450.0,686.6585760041157,15.237688437857797,-31.389328365458454,-2.742793436662664,False,
47.0,0.1895727228264103,62.27410077169407,-3.0131119217559013,440.0,-340.0,690.0000000000001,886.171540955813,15.427261160684203,30.88477240623561,-5.755905358418565,False,
48.0,0.2573915061167113,-1.3489283117924238,16.08187186768834,330.0,-300.0,690.0000000000001,821.5838362577493,15.684652666800917,29.53584409444319,10.325966509269774,False,
49.0,1.896885785746102,-39.84105245949038,18.12912418105436,20.0,280.0,690.0000000000001,744.9161026585479,17.58153845254702,-10.305208365047193,28.45509069032413,False,
50.0,0.2467890902726921,17.152014748717626,0.8753027501066803,20.0,50.0,800.0,801.8104514160439,17.82832754281971,6.846806383670436,29.33039344043081,False,
51.0,1.9583045288643888,-33.39683126089583,-17.990844495322126,200.0,460.0,580.0,766.8115805072325,19.7866320716841,-26.5500248772254,11.339548945108683,False,
52.0,2.638111123227233,18.05439956754053,-36.83376874567761,450.0,310.0,570.0,789.6201618499872,22.424743194911333,-8.49562530968487,-25.494219800568924,False,
53.0,0.6493308724484734,-12.555185152552594,9.700218255142028,400.0,429.99999999999994,490.0,764.8529270389178,23.07407406735981,-21.050810462237465,-15.794001545426896,False,
54.0,0.1725564299665123,41.650565243845776,-0.3380867712909055,410.0,-190.0,840.0,953.8343671728336,23.24663049732632,20.599754781608308,-16.1320883167178,False,
55.0,2.464797042830781,-3.4693497690319965,32.578112698079764,250.0,-100.0,960.0,997.0456358662827,25.7114275401571,17.13040501257631,16.44602438136196,False,
56.0,0.5404023837973249,-11.249414182954151,-38.83475754127235,450.0,160.0,800.0,931.7188417113824,26.251829923954425,5.88099082962216,-22.38873315991039,False,
57.0,0.9366465692758652,16.157765203608633,22.671537835965008,370.0,-190.0,960.0,1046.2313319720454,27.18847649323029,22.038756033230797,0.2828046760546175,False,
58.0,0.0973999632799902,-36.52355745810836,16.169291654866964,210.0,429.99999999999994,840.0,966.7471230885562,27.28587645651028,-14.48480142487756,16.45209633092158,False,
59.0,0.9878180875197592,-6.115764102828521,-17.554319887907447,370.0,500.0,690.0000000000001,928.9779329994875,28.27369454403004,-20.60056552770608,-1.102223556985866,False,
60.0,0.3643086306827428,21.205681628147268,21.214374328848315,220.0,240.0,1030.0,1080.2314566795396,28.638003174712782,0.605116100441188,20.11215077186245,False,
61.0,3.456200989001008,-7.794851912296043,-32.08168535151881,450.0,429.99999999999994,840.0,1045.4664030948102,32.09420416371379,-7.189735811854855,-11.96953457965636,False,
62.0,0.6988141491873137,15.9182219999656,3.40031764963919,410.0,130.0,1070.0,1153.2129031536197,32.793018312901104,8.728486188110745,-8.56921693001717,False,
63.0,0.6473981994495404,-0.8043921462218595,15.198491181080303,340.0,130.0,1110.0,1168.1609478149833,33.440416512350644,7.924094041888885,6.629274251063135,False,
64.0,0.6433555010002721,-14.88337002684371,-2.7737635057599253,380.0,390.0,990.0,1129.8672488394377,34.08377201335092,-6.959275984954825,3.85551074530321,False,
65.0,-34.08377201335092,6.959275984954825,-3.85551074530321,340.0,130.0,320.0,484.66483264210535,0.0,0.0,0.0,False,
